"","file_name","number_of_clusers_with_p_less_than_0.05","lowest_p_value"
"165","perm_246_Summary.of.stats_Random.Group.Allocation.csv",24,0.00079467202023034
"166","perm_247_Summary.of.stats_Random.Group.Allocation.csv",21,2.52111161521895e-05
"167","perm_248_Summary.of.stats_Random.Group.Allocation.csv",26,0.001871237049716
"168","perm_249_Summary.of.stats_Random.Group.Allocation.csv",16,0.000945290161576038
"169","perm_25_Summary.of.stats_Random.Group.Allocation.csv",20,7.70641927898962e-05
"170","perm_250_Summary.of.stats_Random.Group.Allocation.csv",18,0.000233332536063883
"171","perm_251_Summary.of.stats_Random.Group.Allocation.csv",24,0.000260866245406197
"172","perm_252_Summary.of.stats_Random.Group.Allocation.csv",18,0.000297641864760293
"173","perm_253_Summary.of.stats_Random.Group.Allocation.csv",28,9.23676921190274e-05
"174","perm_254_Summary.of.stats_Random.Group.Allocation.csv",34,0.00051611393744663
"175","perm_255_Summary.of.stats_Random.Group.Allocation.csv",23,0.000936407368993087
"176","perm_256_Summary.of.stats_Random.Group.Allocation.csv",35,9.23676921190274e-05
"177","perm_257_Summary.of.stats_Random.Group.Allocation.csv",27,0.000152768939475307
"178","perm_258_Summary.of.stats_Random.Group.Allocation.csv",29,0.000440919690527783
"179","perm_259_Summary.of.stats_Random.Group.Allocation.csv",24,0.000186450662469105
"180","perm_26_Summary.of.stats_Random.Group.Allocation.csv",18,7.48418143713363e-05
"181","perm_260_Summary.of.stats_Random.Group.Allocation.csv",28,6.71970438051743e-05
"182","perm_261_Summary.of.stats_Random.Group.Allocation.csv",22,2.61319509288867e-05
"183","perm_262_Summary.of.stats_Random.Group.Allocation.csv",34,0.000328040350077491
"184","perm_263_Summary.of.stats_Random.Group.Allocation.csv",18,0.00274866928686319
"185","perm_264_Summary.of.stats_Random.Group.Allocation.csv",18,0.00193924280712487
"186","perm_265_Summary.of.stats_Random.Group.Allocation.csv",26,0.000506508004277552
"187","perm_266_Summary.of.stats_Random.Group.Allocation.csv",23,0.000357855766569601
"188","perm_267_Summary.of.stats_Random.Group.Allocation.csv",13,0.000305887132246554
"189","perm_268_Summary.of.stats_Random.Group.Allocation.csv",16,0.00166973772917832
"190","perm_269_Summary.of.stats_Random.Group.Allocation.csv",19,0.00178954087151456
"191","perm_27_Summary.of.stats_Random.Group.Allocation.csv",20,3.46458000104316e-05
"192","perm_270_Summary.of.stats_Random.Group.Allocation.csv",26,4.6317672118715e-05
"193","perm_271_Summary.of.stats_Random.Group.Allocation.csv",27,4.58630707602832e-05
"194","perm_272_Summary.of.stats_Random.Group.Allocation.csv",23,0.000811454851095509
"195","perm_273_Summary.of.stats_Random.Group.Allocation.csv",14,0.00088643672507158
"196","perm_274_Summary.of.stats_Random.Group.Allocation.csv",12,0.000348783154676982
"197","perm_275_Summary.of.stats_Random.Group.Allocation.csv",23,0.000355271239504086
"198","perm_276_Summary.of.stats_Random.Group.Allocation.csv",16,7.19972871979247e-06
"199","perm_277_Summary.of.stats_Random.Group.Allocation.csv",36,3.81315623912267e-06
"200","perm_278_Summary.of.stats_Random.Group.Allocation.csv",20,0.00203084385235235
"201","perm_279_Summary.of.stats_Random.Group.Allocation.csv",26,0.000586975496786911
"202","perm_28_Summary.of.stats_Random.Group.Allocation.csv",20,1.82044073693007e-05
"203","perm_280_Summary.of.stats_Random.Group.Allocation.csv",26,0.000969365665616996
"204","perm_281_Summary.of.stats_Random.Group.Allocation.csv",35,0.000102066147760071
"205","perm_282_Summary.of.stats_Random.Group.Allocation.csv",26,0.000382787489555822
